Sturing Stand,6338,,Controle Stand,12886,,MotorstroomActief,12897,,Sectie Berijding,13578
01/Apr/19 04:35:12.362,Sturing Links,,01/Apr/19 04:35:12.462,Uit controle,,01/Apr/19 04:35:12.395,Motorstroom Actief,,01/Apr/19 04:27:59.280,Wel Berijding
01/Apr/19 04:43:32.921,Sturing Rechts,,01/Apr/19 04:35:13.812,Links in controle,,01/Apr/19 04:35:13.785,Geen Motorstroom,,01/Apr/19 04:28:24.081,Geen Berijding
01/Apr/19 05:05:10.378,Sturing Links,,01/Apr/19 04:43:33.021,Uit controle,,01/Apr/19 04:43:32.943,Motorstroom Actief,,01/Apr/19 04:37:11.930,Wel Berijding
01/Apr/19 05:14:55.036,Sturing Rechts,,01/Apr/19 04:43:34.371,Rechts in controle,,01/Apr/19 04:43:34.343,Geen Motorstroom,,01/Apr/19 04:37:27.481,Geen Berijding
01/Apr/19 05:27:09.846,Sturing Links,,01/Apr/19 04:55:23.829,Uit controle,,01/Apr/19 04:55:23.742,Motorstroom Actief,,01/Apr/19 04:45:34.140,Wel Berijding
01/Apr/19 05:35:21.395,Sturing Rechts,,01/Apr/19 04:55:25.129,Links in controle,,01/Apr/19 04:55:25.132,Geen Motorstroom,,01/Apr/19 04:45:56.690,Geen Berijding
01/Apr/19 05:37:45.544,Sturing Links,,01/Apr/19 05:00:56.179,Uit controle,,01/Apr/19 05:00:56.101,Motorstroom Actief,,01/Apr/19 04:57:09.550,Wel Berijding
01/Apr/19 05:44:31.004,Sturing Rechts,,01/Apr/19 05:00:57.529,Rechts in controle,,01/Apr/19 05:00:57.501,Geen Motorstroom,,01/Apr/19 04:57:28.250,Geen Berijding
01/Apr/19 05:50:53.404,Sturing Links,,01/Apr/19 05:05:10.478,Uit controle,,01/Apr/19 05:05:10.391,Motorstroom Actief,,01/Apr/19 05:02:54.551,Wel Berijding
01/Apr/19 05:56:58.814,Sturing Rechts,,01/Apr/19 05:05:11.778,Links in controle,,01/Apr/19 05:05:11.771,Geen Motorstroom,,01/Apr/19 05:03:17.600,Geen Berijding
01/Apr/19 06:01:33.114,Sturing Links,,01/Apr/19 05:14:55.136,Uit controle,,01/Apr/19 05:14:55.029,Motorstroom Actief,,01/Apr/19 05:07:07.250,Wel Berijding
01/Apr/19 06:06:29.463,Sturing Rechts,,01/Apr/19 05:14:56.436,Rechts in controle,,01/Apr/19 05:14:56.419,Geen Motorstroom,,01/Apr/19 05:07:23.900,Geen Berijding
01/Apr/19 06:14:02.971,Sturing Links,,01/Apr/19 05:27:09.946,Uit controle,,01/Apr/19 05:27:09.858,Motorstroom Actief,,01/Apr/19 05:16:58.010,Wel Berijding
01/Apr/19 06:18:25.220,Sturing Rechts,,01/Apr/19 05:27:11.246,Links in controle,,01/Apr/19 05:27:11.238,Geen Motorstroom,,01/Apr/19 05:17:26.510,Geen Berijding
01/Apr/19 06:29:30.979,Sturing Links,,01/Apr/19 05:35:21.495,Uit controle,,01/Apr/19 05:35:21.387,Motorstroom Actief,,01/Apr/19 05:29:06.522,Wel Berijding
01/Apr/19 06:31:27.129,Sturing Rechts,,01/Apr/19 05:35:22.795,Rechts in controle,,01/Apr/19 05:35:22.777,Geen Motorstroom,,01/Apr/19 05:29:18.870,Geen Berijding
01/Apr/19 06:34:05.278,Sturing Links,,01/Apr/19 05:37:45.644,Uit controle,,01/Apr/19 05:37:45.557,Motorstroom Actief,,01/Apr/19 05:39:37.522,Wel Berijding
01/Apr/19 06:36:49.478,Sturing Rechts,,01/Apr/19 05:37:46.944,Links in controle,,01/Apr/19 05:37:46.927,Geen Motorstroom,,01/Apr/19 05:39:51.221,Geen Berijding
01/Apr/19 06:42:32.889,Sturing Links,,01/Apr/19 05:44:31.104,Uit controle,,01/Apr/19 05:44:30.997,Motorstroom Actief,,01/Apr/19 05:45:28.082,Wel Berijding
01/Apr/19 06:48:19.238,Sturing Rechts,,01/Apr/19 05:44:32.404,Rechts in controle,,01/Apr/19 05:44:32.387,Geen Motorstroom,,01/Apr/19 05:45:59.681,Geen Berijding
01/Apr/19 06:59:01.946,Sturing Links,,01/Apr/19 05:50:53.504,Uit controle,,01/Apr/19 05:50:53.436,Motorstroom Actief,,01/Apr/19 05:52:36.832,Wel Berijding
01/Apr/19 07:02:02.145,Sturing Rechts,,01/Apr/19 05:50:54.854,Links in controle,,01/Apr/19 05:50:54.806,Geen Motorstroom,,01/Apr/19 05:52:59.431,Geen Berijding
01/Apr/19 07:05:06.345,Sturing Links,,01/Apr/19 05:56:58.914,Uit controle,,01/Apr/19 05:56:58.837,Motorstroom Actief,,01/Apr/19 05:58:36.192,Wel Berijding
01/Apr/19 07:07:25.495,Sturing Rechts,,01/Apr/19 05:57:00.264,Rechts in controle,,01/Apr/19 05:57:00.227,Geen Motorstroom,,01/Apr/19 05:58:53.192,Geen Berijding
01/Apr/19 07:12:28.855,Sturing Links,,01/Apr/19 06:01:33.214,Uit controle,,01/Apr/19 06:01:33.136,Motorstroom Actief,,01/Apr/19 06:03:37.792,Wel Berijding
