Energie Oppervlakte Links,3152,,Energie Oppervlakte Rechts,3156,,InschakelpiekLinks,3152,,InschakelpiekRechts,3156,,MaxOmloopStroomLinks,3152,,MaxOmloopStroomRechts,3156,,OmloopTijdLinks_Motorstroom,3152,,OmloopTijdRechts_Motorstroom,3156,,OmloopTijdRechts_Relais,3156,,OmloopTijdLinks_Relais,3152,,SectieBezettingTijd,6789,,TijdEindMotorstroomControleLinks,3152,,TijdEindMotorstroomControleRechts,3156,,TijdSturingMotorstroomLinks,3152,,TijdSturingMotorstroomRechts,3156,,UitControleTijd,6320
01/Apr/19 04:35:13.812,5.58204482674197,,01/Apr/19 04:43:34.371,5.53901591604478,,01/Apr/19 04:35:13.812,18.326416,,01/Apr/19 04:43:34.371,18.1329346,,01/Apr/19 04:35:13.812,4.41067756984056,,01/Apr/19 04:43:34.371,4.24495984162151,,01/Apr/19 04:35:13.812,1.3999939,,01/Apr/19 04:43:34.371,1.4099884,,01/Apr/19 04:43:34.371,1.4499969,,01/Apr/19 04:35:13.812,1.449997,,01/Apr/19 04:28:24.081,24.8009949,,01/Apr/19 04:35:13.812,0.0270081,,01/Apr/19 04:43:34.371,0.0279998,,01/Apr/19 04:35:13.812,0.022995,,01/Apr/19 04:43:34.371,0.0120087,,01/Apr/19 04:35:13.812,1.3500061
01/Apr/19 05:05:11.778,5.52379100068046,,01/Apr/19 05:00:57.529,5.47717836101703,,01/Apr/19 05:05:11.778,18.2754517,,01/Apr/19 05:00:57.529,18.112793,,01/Apr/19 05:05:11.778,4.38505187786887,,01/Apr/19 05:00:57.529,4.25381211451298,,01/Apr/19 05:05:11.778,1.3899994,,01/Apr/19 05:00:57.529,1.3999939,,01/Apr/19 05:00:57.529,1.4279938,,01/Apr/19 05:05:11.778,1.4000092,,01/Apr/19 04:37:27.481,15.5509949,,01/Apr/19 05:05:11.778,0.0070038,,01/Apr/19 05:00:57.529,0.0279999,,01/Apr/19 05:05:11.778,0.003006,,01/Apr/19 05:00:57.529,0,,01/Apr/19 04:43:34.371,1.3499908
01/Apr/19 05:27:11.246,5.54841679188821,,01/Apr/19 05:14:56.436,5.28828414114538,,01/Apr/19 05:27:11.246,17.8778076,,01/Apr/19 05:14:56.436,18.0987549,,01/Apr/19 05:27:11.246,4.45413237433006,,01/Apr/19 05:14:56.436,4.24496904864322,,01/Apr/19 05:27:11.246,1.3899993,,01/Apr/19 05:14:56.436,1.3829956,,01/Apr/19 05:14:56.436,1.3999939,,01/Apr/19 05:27:11.246,1.3999938,,01/Apr/19 04:45:56.690,22.5499878,,01/Apr/19 05:27:11.246,0.0079956,,01/Apr/19 05:14:56.436,0.0169983,,01/Apr/19 05:27:11.246,0.0019989,,01/Apr/19 05:14:56.436,0,,01/Apr/19 05:00:57.529,1.3500061
01/Apr/19 05:37:46.944,5.51557216097865,,01/Apr/19 05:35:22.795,5.31116089734051,,01/Apr/19 05:37:46.944,18.1924438,,01/Apr/19 05:35:22.795,17.8872681,,01/Apr/19 05:37:46.944,4.41586462944165,,01/Apr/19 05:35:22.795,4.26267504739077,,01/Apr/19 05:37:46.944,1.3799896,,01/Apr/19 05:35:22.795,1.3820038,,01/Apr/19 05:35:22.795,1.4000092,,01/Apr/19 05:37:46.944,1.3999939,,01/Apr/19 04:57:28.250,18.699997,,01/Apr/19 05:37:46.944,0.0169983,,01/Apr/19 05:35:22.795,0.0180054,,01/Apr/19 05:37:46.944,0.003006,,01/Apr/19 05:35:22.795,0,,01/Apr/19 05:05:11.778,1.3000031
01/Apr/19 05:50:54.854,5.47586864938001,,01/Apr/19 05:44:32.404,5.36357286166661,,01/Apr/19 05:50:54.854,18.137207,,01/Apr/19 05:44:32.404,17.9205322,,01/Apr/19 05:50:54.854,4.40305275015485,,01/Apr/19 05:44:32.404,4.33956840387183,,01/Apr/19 05:50:54.854,1.3800049,,01/Apr/19 05:44:32.404,1.3829956,,01/Apr/19 05:44:32.404,1.3999939,,01/Apr/19 05:50:54.854,1.449997,,01/Apr/19 05:03:17.600,23.048996,,01/Apr/19 05:50:54.854,0.0479889,,01/Apr/19 05:44:32.404,0.0169983,,01/Apr/19 05:50:54.854,0.0220032,,01/Apr/19 05:44:32.404,0,,01/Apr/19 05:14:56.436,1.3000031
01/Apr/19 06:01:34.564,5.61127942280941,,01/Apr/19 05:57:00.264,5.47366128127852,,01/Apr/19 06:01:34.564,18.2025146,,01/Apr/19 05:57:00.264,18.104248,,01/Apr/19 06:01:34.564,4.46482173557649,,01/Apr/19 05:57:00.264,4.23733708290375,,01/Apr/19 06:01:34.564,1.3999939,,01/Apr/19 05:57:00.264,1.3999939,,01/Apr/19 05:57:00.264,1.4499969,,01/Apr/19 06:01:34.564,1.449997,,01/Apr/19 05:07:23.900,16.6500091,,01/Apr/19 06:01:34.564,0.0380097,,01/Apr/19 05:57:00.264,0.0370025,,01/Apr/19 06:01:34.564,0.0119934,,01/Apr/19 05:57:00.264,0.0130005,,01/Apr/19 05:27:11.246,1.2999877
01/Apr/19 06:14:04.371,5.47358317402876,,01/Apr/19 06:06:30.863,5.37257963739744,,01/Apr/19 06:14:04.371,18.4353638,,01/Apr/19 06:06:30.863,17.9248047,,01/Apr/19 06:14:04.371,4.3829129516389,,01/Apr/19 06:06:30.863,4.3321135728586,,01/Apr/19 06:14:04.371,1.3799897,,01/Apr/19 06:06:30.863,1.3919983,,01/Apr/19 06:06:30.863,1.3999939,,01/Apr/19 06:14:04.371,1.3999938,,01/Apr/19 05:17:26.510,28.5,,01/Apr/19 06:14:04.371,0.0169982,,01/Apr/19 06:06:30.863,0.0079956,,01/Apr/19 06:14:04.371,0.0030059,,01/Apr/19 06:06:30.863,0,,01/Apr/19 05:35:22.795,1.3000031
01/Apr/19 06:29:32.429,5.47054899268318,,01/Apr/19 06:18:26.671,5.53203282598312,,01/Apr/19 06:29:32.429,18.348999,,01/Apr/19 06:18:26.671,18.0804443,,01/Apr/19 06:29:32.429,4.39220158590927,,01/Apr/19 06:18:26.671,4.26083361955423,,01/Apr/19 06:29:32.429,1.3800049,,01/Apr/19 06:18:26.671,1.4100037,,01/Apr/19 06:18:26.671,1.451004,,01/Apr/19 06:29:32.429,1.4499969,,01/Apr/19 05:29:18.870,12.3480072,,01/Apr/19 06:29:32.429,0.0479889,,01/Apr/19 06:18:26.671,0.0179901,,01/Apr/19 06:29:32.429,0.0220031,,01/Apr/19 06:18:26.671,0.0230102,,01/Apr/19 05:37:46.944,1.2999878
01/Apr/19 06:34:06.678,5.48247775996691,,01/Apr/19 06:31:28.529,5.36058583744424,,01/Apr/19 06:34:06.678,18.3639526,,01/Apr/19 06:31:28.529,17.8244019,,01/Apr/19 06:34:06.678,4.3996929147967,,01/Apr/19 06:31:28.529,4.28446589572469,,01/Apr/19 06:34:06.678,1.3769989,,01/Apr/19 06:31:28.529,1.3919983,,01/Apr/19 06:31:28.529,1.3999939,,01/Apr/19 06:34:06.678,1.3999939,,01/Apr/19 05:39:51.221,13.6990052,,01/Apr/19 06:34:06.678,0,,01/Apr/19 06:31:28.529,0.0079956,,01/Apr/19 06:34:06.678,0.022995,,01/Apr/19 06:31:28.529,0,,01/Apr/19 05:44:32.404,1.300003
01/Apr/19 06:42:34.289,5.33030583448047,,01/Apr/19 06:36:50.878,5.38868676250175,,01/Apr/19 06:42:34.289,18.2260132,,01/Apr/19 06:36:50.878,18.102417,,01/Apr/19 06:42:34.289,4.39328775716585,,01/Apr/19 06:36:50.878,4.24740813520276,,01/Apr/19 06:42:34.289,1.3730011,,01/Apr/19 06:36:50.878,1.3919983,,01/Apr/19 06:36:50.878,1.3999939,,01/Apr/19 06:42:34.289,1.3999939,,01/Apr/19 05:45:59.681,31.5990143,,01/Apr/19 06:42:34.289,0.0269928,,01/Apr/19 06:36:50.878,0.0079956,,01/Apr/19 06:42:34.289,0,,01/Apr/19 06:36:50.878,0,,01/Apr/19 05:50:54.854,1.3499909
